tokenId,weapons,faces,body,location,sport,pets,flowers,traffic,probability score,probability rarest,rare score,rare rarest
1,"""🛅✖️9️⃣"" 🎸 🟡 🆙",😘,👩‍🏫👩‍⚖️,⛩️,🤾,🦁,🍀,🛵,31.63570735,5307,2297,6098
2,⛏️,😀 🔴,👨‍✈️👩‍✈️,🏞️,🕺 🟠,🐶,"""🔱✖️🔟"" 🌳 ⚪ 🆙",🏍️ 🟤,39.72188089,1435,1403,873
3,🔫,🤢,👨‍🏭👩‍🏭,🌉,⛹️ 🔴,🐴,🏵️,🚤,28.82497591,6806,2320,6219
4,⛏️,😄,👮‍♂️👮‍♀️,🌉 🔴,🤾,🦊,🌳 🟤,🚄,31.9888936,5058,1884,3357
5,⛓️ 🟡,🤣,👨‍💼👩‍💻,🌋,"""💥✖️4️⃣"" 🏄 🟡 🆙",🐻,🌵,🚙,34.96321321,3413,2076,4597
6,🧯,🥶,👨‍🏭👩‍🏭 ⚪,🌆,🧗,🐴,🌷 ⚪,🛺,32.73599036,4663,1812,2758
7,🎸,😃,👨‍🏫👩‍🏫,🌁 🟡,🚴,🐼,"""🚫 6️⃣"" 🌵 ⚫","""💜✖️🆒"" 🏎️ 🟣 🆙",41.32067237,957,1599,1664
8,🖋️,😄 🟢,👨‍💻👩‍💻,🎪,⛷️ 🔴,"""🔱✖️🔟"" 🦊 🟣 🆙","""🔰 1️⃣"" 🌷 ⚫",⛵ 🟢,44.98389681,323,1055,215
9,⛓️,😰,👨‍🎓👩‍🎓,🏜️,🛌 🟤,🐻,🏵️,🚙 🟢,29.80334486,6200,2184,5545
10,⛏️,😰,👨‍🍳👩‍🍳,🌆,"""📴 🔠"" 🤺 🔵",🐼,🌷,🚀,31.52009202,5401,2320,6220
11,🧯,😨,👨‍🎨👩‍🎨,⛪,🚶,🐨,💮,🚤 🔵,27.23175961,7324,2437,7045
12,🔧,🥶,👨‍💻👩‍💻 🟢,🌆,🛌 🟡,🐵 🔴,🌻 🔴,🚜,37.90340325,2035,1259,525
13,⛓️,😎,👨‍💼👩‍💻,🌁 🟠,🕺,🐵,"""💠✖️🔣"" 🏵️ ⚪ 🆙",🚀,35.60022929,3090,1865,3196
14,🛡️,😂,👨‍✈️👩‍✈️ 🟢,🌇 🟤,🚶,🐴 🟢,🌷,🚄,34.94249278,3425,1713,2203
15,🛠️,😎 ⚫,👨‍🏭👩‍🏭,🎪,🏊,🐯,💮,⛵,29.99936779,6131,2465,7198
16,🎸,🙄,👨‍🍳👩‍🍳,🏟️ 🟤,⛹️ ⚫,🐷,🌵,"""💢 🔢"" 🚲 🟠",37.42323979,2307,1826,2856
17,🔦,😁,👨‍🎤👩‍🎤 🟤,🌄,🤽,🦊,"""💥✖️2️⃣"" 🌳 🟡 🆙",🛩️ 🟣,36.11324099,2881,1586,1593
18,🛡️,🤢,🤴👸,"""🚳✖️9️⃣"" 🌄 🟡 🆙",🤸,🐰,"""🚱✖️8️⃣"" 🌳 ⚪ 🆙",🛩️,37.53911104,2236,1862,3171
